Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/09/2017,,,,,,,,,3,52,106,172,197,223,225,253,246,209,164,124,,,,
02/09/2017,,,,,,,,,0,21,54,102,141,155,189,233,238,242,196,136,,,,
03/09/2017,,,,,,,,,1,24,77,136,174,182,222,278,291,274,234,160,,,,
04/09/2017,,,,,,,,,0,60,111,186,239,260,305,364,331,303,238,180,,,,
05/09/2017,,,,,,,,,7,45,118,165,207,228,261,297,290,279,249,180,,,,
06/09/2017,,,,,,,,,3,70,112,173,227,252,290,309,318,279,226,169,,,,
07/09/2017,,,,,,,,,4,90,181,249,251,178,172,202,202,167,133,93,,,,
08/09/2017,,,,,,,,,3,37,69,103,133,128,147,175,171,145,120,86,,,,
09/09/2017,,,,,,,,,0,22,40,64,83,86,100,129,135,134,108,87,,,,
10/09/2017,,,,,,,,,1,8,38,83,105,126,164,192,202,180,138,96,,,,
11/09/2017,,,,,,,,,3,42,82,143,173,156,189,232,221,182,136,77,,,,
12/09/2017,,,,,,,,,1,27,73,123,143,160,179,199,172,144,121,84,,,,
13/09/2017,,,,,,,,,5,41,87,131,164,172,169,162,157,129,115,65,,,,
14/09/2017,,,,,,,,,4,26,62,104,135,136,160,196,194,166,119,86,,,,
15/09/2017,,,,,,,,,1,40,80,133,144,155,149,154,142,121,93,75,,,,
16/09/2017,,,,,,,,,0,13,39,75,81,108,127,130,137,140,107,89,,,,
17/09/2017,,,,,,,,,1,11,27,49,75,90,107,125,147,127,102,75,,,,
18/09/2017,,,,,,,,,7,39,134,211,288,326,353,314,314,239,155,114,,,,
19/09/2017,,,,,,,,,6,34,160,274,260,288,376,365,338,273,162,101,,,,
20/09/2017,,,,,,,,,2,40,189,242,289,342,380,341,314,287,203,123,,,,
21/09/2017,,,,,,,,,3,51,165,283,354,375,418,406,329,248,172,115,,,,
22/09/2017,,,,,,,,,2,63,140,230,254,279,287,281,298,208,145,83,,,,
23/09/2017,,,,,,,,,0,19,73,110,127,134,188,193,169,170,104,67,,,,
24/09/2017,,,,,,,,,0,12,60,99,124,151,193,217,210,176,136,88,,,,
25/09/2017,,,,,,,,,2,77,269,680,733,736,785,815,681,533,297,206,130,96,88,68
26/09/2017,14,11,10,6,6,7,6,9,26,90,271,654,743,746,759,910,697,552,349,219,152,111,74,58
27/09/2017,26,21,15,11,8,8,8,13,29,75,272,529,628,699,710,665,605,525,316,185,112,92,76,59
28/09/2017,13,10,7,6,5,4,4,7,25,76,262,552,730,812,805,818,760,560,357,184,127,90,83,51
29/09/2017,23,19,15,11,12,12,12,13,27,65,252,431,637,604,692,803,615,406,291,172,120,88,57,42
30/09/2017,12,8,5,5,4,3,3,4,5,23,86,144,192,235,315,384,368,298,246,161,119,91,67,42
01/10/2017,22,16,13,9,5,5,6,5,2,19,61,121,211,252,360,424,453,433,299,218,150,98,65,51
02/10/2017,26,13,15,7,7,5,6,10,24,112,391,776,1040,944,1097,1176,966,848,578,336,259,209,187,108
03/10/2017,25,17,12,7,4,4,5,7,17,97,419,793,954,931,1007,1087,881,705,484,297,218,171,117,71
04/10/2017,27,19,12,10,7,6,7,9,24,94,352,699,697,756,813,942,840,682,398,273,191,140,99,69
05/10/2017,27,14,12,6,6,4,6,13,22,73,313,682,876,951,891,961,810,694,464,317,245,191,134,75
06/10/2017,21,12,11,9,9,5,7,9,23,81,266,590,719,690,796,850,695,531,385,205,130,99,71,49
07/10/2017,20,12,7,4,2,4,3,2,6,23,73,173,262,312,425,547,565,503,353,229,155,114,80,55
08/10/2017,34,10,4,2,2,2,2,2,7,17,72,179,268,352,470,590,617,602,490,323,249,167,105,72
09/10/2017,38,24,19,11,7,7,5,10,29,92,420,854,1092,1078,1139,1252,1025,923,643,472,358,271,212,135
10/10/2017,58,33,26,18,11,13,12,15,31,126,400,866,959,1017,1063,1196,935,756,569,363,288,237,157,100
11/10/2017,49,34,10,5,5,5,6,7,27,84,354,672,745,771,963,1045,962,841,610,380,280,221,156,100
12/10/2017,40,30,16,8,6,3,5,10,23,89,293,612,806,853,923,1111,861,702,487,302,229,198,133,83
13/10/2017,33,26,7,4,3,4,5,6,17,70,296,595,792,810,802,895,722,592,416,260,184,134,100,67
14/10/2017,38,24,14,5,2,2,1,3,7,50,108,225,346,409,512,579,625,557,451,340,269,223,155,115
15/10/2017,33,17,14,9,8,6,3,3,5,24,95,192,270,372,499,650,730,691,554,371,292,237,181,98
16/10/2017,57,42,34,26,15,12,13,15,37,128,385,749,1081,1011,1104,1167,1011,913,656,460,375,317,238,147
17/10/2017,63,36,26,13,10,8,7,8,29,107,393,857,1014,1074,1111,1276,1061,899,662,455,359,281,203,153
18/10/2017,75,42,20,13,12,10,11,14,35,118,433,706,808,912,1013,1088,1100,955,643,443,366,294,216,152
19/10/2017,75,47,30,22,17,12,10,11,33,96,319,639,907,1006,955,1051,945,862,602,460,322,264,193,117
20/10/2017,42,28,20,12,11,7,8,15,32,133,354,613,675,744,839,912,744,616,454,287,215,169,111,77
21/10/2017,33,23,13,12,10,9,9,9,11,37,115,222,292,372,557,647,657,580,464,308,232,168,120,88
22/10/2017,64,41,26,16,9,8,4,3,6,28,112,238,372,452,615,815,888,797,604,412,312,245,196,133
23/10/2017,74,47,41,30,15,9,9,11,40,120,381,808,997,985,1154,1334,1105,1050,785,582,483,433,345,228
24/10/2017,134,71,46,29,17,11,11,10,31,108,501,953,1071,1038,1203,1305,1096,955,756,632,526,426,333,206
25/10/2017,109,80,51,25,20,15,15,15,32,91,374,746,786,940,1128,1131,1039,911,674,518,461,375,258,189
26/10/2017,113,69,48,29,24,20,16,12,17,80,294,586,824,849,978,1177,1097,853,597,481,440,404,306,194
27/10/2017,93,59,43,21,15,13,9,11,30,80,338,641,819,778,852,892,732,627,486,340,255,212,168,126
