,Dates,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,14-11-2021,1.829300435,1.726058863,2.170435073,2.26222876,1.862236915,2.192381384,2.071297918,2.38078465,2.827642479,2.974587458,2.632620179,2.957607594,3.723758385,4.008637288,3.410919188,3.203669809,3.089909893,3.304164883,3.289872714,3.202605371,2.912955492,2.674424135,2.19166391,2.133634381
1,15-11-2021,1.939101347,1.809035115,2.096986586,2.262590835,1.862236915,2.192381384,2.068148548,2.38078465,2.827642479,2.974587458,2.635425999,2.947977492,3.722771161,4.008637288,3.411773583,3.203669809,3.08827556,3.304164883,3.289108428,3.210943991,2.92321854,2.815490466,2.183773885,2.12040257
2,16-11-2021,1.79916799,1.850787821,2.051506449,2.260004543,1.808295627,2.192381384,2.068148548,2.346906591,2.827642479,2.974587458,2.635425999,2.947977492,3.569382935,4.008637288,3.411773583,3.203669809,3.089909893,3.302295284,3.292474686,3.182301551,2.932801052,2.820052238,2.183773885,2.182453518
3,17-11-2021,1.797990527,1.896940506,2.001127687,2.238623877,1.77009933,2.192381384,2.063699379,2.346906591,2.827642479,2.974587458,2.633919914,2.943771068,3.560262185,3.943365742,3.411773583,3.203669809,3.081473025,3.299031548,3.292474686,3.182301551,3.002657966,2.820052238,2.183773885,2.182453518
4,18-11-2021,1.84765637,1.91144709,2.046155084,2.247739628,1.77009933,2.192381384,2.063699379,2.346906591,2.827642479,2.725532478,2.626207408,2.931876386,3.675663643,3.304145125,3.41577049,3.205429432,3.096269693,3.301198215,3.292474686,3.493228347,3.011913605,2.816640466,2.185515535,2.179620289
5,19-11-2021,1.873562802,1.964646083,2.073659498,2.429807288,1.748102179,2.218008118,2.061393824,2.346906591,2.827642479,2.725532478,2.636870049,2.931876386,3.7529927,3.114196929,3.414566786,3.203420509,3.10505151,3.359751714,3.299040418,3.493228347,3.024738223,2.813988481,2.177381193,2.179620289
6,20-11-2021,1.891979699,1.997459307,2.073659498,2.423289285,1.729716094,2.210948143,2.061393824,2.345716115,2.875857412,2.725532478,2.643205672,2.931876386,3.758925328,3.255229848,3.41577049,3.174453218,3.116044011,3.361621313,3.301454839,3.486275882,3.024552653,2.751599065,2.181831306,2.179620289
7,21-11-2021,1.873562802,2.057470668,2.077190106,2.340512425,1.731199778,2.210948143,2.175929256,2.346123691,2.875857412,2.732849608,2.582971317,2.931876386,3.752508196,3.263001272,3.41577049,3.185856606,3.104412841,3.361621313,3.304176152,3.482083022,2.960533978,2.672151038,2.179970506,2.184637914
8,22-11-2021,1.873562802,2.065305244,2.078254689,2.301604666,1.720474184,2.210948143,2.097170011,2.346123691,2.874099492,2.732849608,2.652308703,2.931876386,3.753055815,3.242934272,3.427061042,3.184933529,3.111966284,3.363421313,3.304176152,3.467569572,3.422286813,2.669566021,2.195279361,2.184637914
9,23-11-2021,1.823031848,2.065588224,2.078254689,2.301604666,1.720474184,2.210948143,2.097170011,2.346123691,2.874099492,2.732849608,2.926339942,2.925943367,3.758695169,3.257803741,3.184690513,3.180613824,3.10038741,3.362126962,3.303405319,3.458378501,3.418942874,2.659850054,2.181117504,2.184637914
10,24-11-2021,1.821912874,2.075764132,2.092060563,2.303882511,1.689877195,2.210948143,2.097170011,2.309784011,2.874099492,2.732849608,2.890637038,2.925943367,3.762507074,3.24526602,3.162568733,3.186963999,3.112820561,3.359907337,3.303405319,3.454832668,3.42709988,2.663530468,2.170596234,2.184637914
11,25-11-2021,1.810500247,2.08471688,2.092060563,2.30210687,1.689877195,2.210948143,2.097170011,2.309784011,2.874099492,2.732849608,2.845394148,2.925454204,3.760203438,3.233113193,3.1612979,3.124208303,3.123056514,3.37237368,3.303405319,3.448564534,3.43096285,2.660967696,2.170092214,2.182055914
